Date,Open,High,Low,Close,Volume
06/07/2018,2737.68,2764.41,2733.52,2759.82,2554.78
09/07/2018,2775.62,2784.65,2770.73,2784.17,3050.04
10/07/2018,2788.56,2795.58,2786.24,2793.84,3063.85
11/07/2018,2779.82,2785.91,2770.77,2774.02,2964.74
12/07/2018,2783.14,2799.22,2781.53,2798.29,2821.69
13/07/2018,2796.93,2804.53,2791.69,2801.31,2614.00
16/07/2018,2797.36,2801.19,2793.39,2798.43,2812.23
17/07/2018,2789.34,2814.19,2789.24,2809.55,3050.73
18/07/2018,2811.35,2816.76,2805.89,2815.62,3089.78
19/07/2018,2809.37,2812.05,2799.77,2804.49,3266.70
20/07/2018,2804.55,2809.70,2800.01,2801.83,3230.21
23/07/2018,2799.17,2808.61,2795.14,2806.98,2907.43
24/07/2018,2820.68,2829.99,2811.12,2820.40,3417.53
25/07/2018,2817.73,2848.03,2817.73,2846.07,3553.01
26/07/2018,2835.49,2845.57,2835.26,2837.44,3653.33
27/07/2018,2842.35,2843.17,2808.34,2818.82,3415.71
30/07/2018,2819.00,2821.74,2798.11,2802.60,3245.77
31/07/2018,2809.73,2824.46,2808.06,2816.29,3892.10
01/08/2018,2821.17,2825.83,2805.85,2813.36,3496.99
02/08/2018,2800.48,2829.91,2796.34,2827.22,3467.38
03/08/2018,2829.62,2840.38,2827.37,2840.35,3030.39
06/08/2018,2840.29,2853.29,2835.98,2850.40,2874.54
07/08/2018,2855.92,2863.43,2855.92,2858.45,3162.77
08/08/2018,2856.79,2862.44,2853.09,2857.70,2972.20
09/08/2018,2857.19,2862.48,2851.98,2853.58,3047.05
10/08/2018,2838.90,2842.20,2825.81,2833.28,3256.04
13/08/2018,2835.46,2843.40,2819.88,2821.93,3158.45
14/08/2018,2827.88,2843.11,2826.58,2839.96,2976.97
15/08/2018,2827.95,2827.95,2802.49,2818.37,3645.07
16/08/2018,2831.44,2850.49,2831.44,2840.69,3219.88
17/08/2018,2838.32,2855.63,2833.73,2850.13,3024.10
20/08/2018,2853.93,2859.76,2850.62,2857.05,2748.02
21/08/2018,2861.51,2873.23,2861.32,2862.96,3147.14
22/08/2018,2860.99,2867.54,2856.05,2861.82,2689.56
23/08/2018,2860.29,2868.78,2854.03,2856.98,2713.91
24/08/2018,2862.35,2876.16,2862.35,2874.69,2596.19
27/08/2018,2884.69,2898.25,2884.69,2896.74,2854.08
28/08/2018,2901.45,2903.77,2893.50,2897.52,2683.19
29/08/2018,2900.62,2916.50,2898.40,2914.04,2791.86
30/08/2018,2908.94,2912.46,2895.22,2901.13,2802.18
31/08/2018,2898.37,2906.32,2891.73,2901.52,2880.26
04/09/2018,2896.96,2900.18,2885.13,2896.72,3077.06
05/09/2018,2891.59,2894.21,2876.92,2888.60,3241.25
06/09/2018,2888.64,2892.05,2867.29,2878.05,3139.59
07/09/2018,2868.26,2883.81,2864.12,2871.68,2946.27
10/09/2018,2881.39,2886.93,2875.94,2877.13,2731.40
11/09/2018,2871.57,2892.52,2866.78,2887.89,2899.66
12/09/2018,2888.29,2894.65,2879.20,2888.92,3264.93
13/09/2018,2896.85,2906.76,2896.39,2904.18,3254.93
14/09/2018,2906.38,2908.30,2895.77,2904.98,3149.80
17/09/2018,2903.83,2904.65,2886.16,2888.80,2947.76
18/09/2018,2890.74,2911.17,2890.43,2904.31,3074.61
19/09/2018,2906.60,2912.36,2903.82,2907.95,3280.02
20/09/2018,2919.73,2934.80,2919.73,2930.75,3337.73
21/09/2018,2936.76,2940.91,2927.11,2929.67,5607.61
24/09/2018,2921.83,2923.79,2912.63,2919.37,3372.21
25/09/2018,2921.75,2923.95,2913.70,2915.56,3285.48
26/09/2018,2916.98,2931.15,2903.28,2905.97,3388.62
27/09/2018,2911.65,2927.22,2909.27,2914.00,3060.85
28/09/2018,2910.03,2920.53,2907.50,2913.98,3432.30
01/10/2018,2926.29,2937.06,2917.91,2924.59,3364.19
02/10/2018,2923.80,2931.42,2919.37,2923.43,3401.88
03/10/2018,2931.69,2939.86,2921.36,2925.51,3598.71
04/10/2018,2919.35,2919.78,2883.92,2901.61,3496.86
05/10/2018,2902.54,2909.64,2869.29,2885.57,3328.98
08/10/2018,2877.53,2889.45,2862.08,2884.43,3330.32
